stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_020L12-CULHUACAN,Culhuacán,19.33685,-99.10896,020L12-CULHUACAN,1
B_020L12-ATLALILCO,Atlalilco,19.35275,-99.10624,020L12-ATLALILCO,1
B_020L12-MEXICALTZINGO,Mexicaltzingo,19.35776,-99.12314,020L12-MEXICALTZINGO,1
B_020L12-ERMITA,Ermita,19.359820000000006,-99.14163,020L12-ERMITA,1
B_020L12-EJECENTRAL,Eje Central,19.36134,-99.15142,020L12-EJECENTRAL,1
B_020L12-PARQUEVENADOS,Parque de los Venados,19.37066,-99.15872,020L12-PARQUEVENADOS,1
B_020L12-ZAPATA,Zapata,19.37085,-99.1656,020L12-ZAPATA,1
B_020L12-HOSPITAL20,Hospital 20 de Noviembre,19.37201,-99.17088,020L12-HOSPITAL20,1
B_020L12-INSURGENTESSUR,Insurgentes Sur,19.37355,-99.17825,020L12-INSURGENTESSUR,1
B_020L12-MIXCOAC,Mixcoac,19.3757,-99.18673,020L12-MIXCOAC,1
B_0200LB-BUENAVISTA,Buenavista,19.44619,-99.15235,0200LB-BUENAVISTA,1
B_0200LB-GUERRERO,Guerrero,19.44514,-99.14614,0200LB-GUERRERO,2
B_0200LB-GARIBALDI,Garibaldi y Lagunilla,19.44389,-99.13787,0200LB-GARIBALDI,2
B_0200LB-LAGUNILLA,Lagunilla,19.44322,-99.13023,0200LB-LAGUNILLA,2
B_0200LB-TEPITO,Tepito,19.44279,-99.12407,0200LB-TEPITO,2
B_0200LB-MORELOS,Morelos,19.43917,-99.11957,0200LB-MORELOS,2
B_0200LB-SANLAZARO,San Lázaro,19.43237,-99.11296,0200LB-SANLAZARO,1
B_0200LB-RFLORESMAGON,Ricardo Flores Magón,19.43657,-99.10371,0200LB-RFLORESMAGON,2
B_0200LB-ROMERORUBIO,Romero Rubio,19.44084,-99.0942,0200LB-ROMERORUBIO,2
B_0200LB-OCEANIA,Oceanía,19.44569,-99.08722,0200LB-OCEANIA,2
B_0200LB-DPVOOCEANIA,Deportivo Oceanía,19.45101,-99.07933,0200LB-DPVOOCEANIA,2
B_0200LB-BOSQUEARAGON,Bosque de Aragón,19.45809,-99.06929,0200LB-BOSQUEARAGON,2
B_0200LB-VILLAARAGON,Villa de Aragón,19.46167,-99.06138,0200LB-VILLAARAGON,1
