nombre,lat,lon,sistema,municipio_asignado
Deportivo Eduardo Molina,19.44478,-99.11212,Metro/Metrobús,
Canal del Norte,19.4496,-99.11037,Metro/Metrobús,
Río de los Remedios,19.50711,-99.08593,Metro/Metrobús,
Alameda Oriente,19.43077,-99.05338,Metro/Metrobús,Nezahualcóyotl
Calle 6,19.42111,-99.05852,Metro/Metrobús,Nezahualcóyotl
Pantitlán,19.41707,-99.07345,Metro/Metrobús,
Terminal 2 - Aeropuerto,19.42148,-99.07725,Metro/Metrobús,
Terminal 1 - Aeropuerto,19.43531,-99.08367,Metro/Metrobús,
San Lázaro Oriente,19.43091,-99.11517,Metro/Metrobús,
San Lázaro,19.43112,-99.11543,Metro/Metrobús,
Archivo General de la Nación,19.43497,-99.11462,Metro/Metrobús,
Archivo General de la Nación,19.43536,-99.11518,Metro/Metrobús,
Morelos,19.43579,-99.11824,Metro/Metrobús,
Morelos,19.43581,-99.119,Metro/Metrobús,
Ferrocarril de Cintura,19.43614,-99.12081,Metro/Metrobús,
Ferrocarril de Cintura,19.436,-99.12161,Metro/Metrobús,
Mixcalco,19.43636,-99.12341,Metro/Metrobús,
Mixcalco,19.43632,-99.12416,Metro/Metrobús,
Teatro del Pueblo,19.43685,-99.12704,Metro/Metrobús,
Teatro del Pueblo,19.436770000000006,-99.12762,Metro/Metrobús,
República de Argentina,19.43736,-99.13119,Metro/Metrobús,
República de Argentina,19.43741,-99.132,Metro/Metrobús,
República de Chile,19.43788,-99.13502,Metro/Metrobús,
República de Chile,19.43797,-99.1359,Metro/Metrobús,
Teatro Blanquita,19.43843,-99.13908,Metro/Metrobús,
Teatro Blanquita,19.43864,-99.13997,Metro/Metrobús,
Bellas Artes,19.43641,-99.14172,Metro/Metrobús,
Bellas Artes,19.43641,-99.14182,Metro/Metrobús,
Hidalgo,19.4373,-99.14615,Metro/Metrobús,
Hidalgo ,19.43728,-99.14621,Metro/Metrobús,
Museo San Carlos,19.43823,-99.1506,Metro/Metrobús,
Museo San Carlos,19.438270000000006,-99.15078,Metro/Metrobús,
Moctezuma,19.42689,-99.11198,Metro/Metrobús,
Eduardo Molina,19.42718,-99.11623,Metro/Metrobús,
Hospital Balbuena,19.4251,-99.11615,Metro/Metrobús,
Cecilio Robelo,19.42548,-99.11904,Metro/Metrobús,
Cecilio Robelo,19.42517,-99.11987,Metro/Metrobús,
Mercado de Sonora,19.42318,-99.12392,Metro/Metrobús,
La Merced,19.42545,-99.12595,Metro/Metrobús,
Las Cruces Sur,19.42616,-99.12992,Metro/Metrobús,
Pino Suárez,19.42666,-99.13278,Metro/Metrobús,
Museo de la Ciudad,19.42893,-99.1328,Metro/Metrobús,
Isabel la Católica,19.42969,-99.13659,Metro/Metrobús,
Isabel la Católica,19.42962,-99.13701,Metro/Metrobús,
El Salvador,19.42987,-99.13854,Metro/Metrobús,
El Salvador,19.43007,-99.13942,Metro/Metrobús,
Eje Central ,19.4303,-99.1408,Metro/Metrobús,
Eje Central,19.43033,-99.14193,Metro/Metrobús,
Mercados San Juan,19.43061,-99.14355,Metro/Metrobús,
Mercados San Juan,19.43077000000001,-99.14465,Metro/Metrobús,
Juárez,19.43126,-99.14774,Metro/Metrobús,
Juárez ,19.43131,-99.14839,Metro/Metrobús,
Vocacional 5,19.43159,-99.15022,Metro/Metrobús,
Vocacional 5,19.43176,-99.15095,Metro/Metrobús,
Defensoría Pública,19.43311,-99.15063,Metro/Metrobús,
Defensoría Pública,19.43336,-99.15101,Metro/Metrobús,
Amajac,19.43416,-99.15353,Metro/Metrobús,
Amajac,19.43501,-99.15337,Metro/Metrobús,
Plaza de la República,19.4368,-99.15414,Metro/Metrobús,
Plaza de la República ,19.43713,-99.15398,Metro/Metrobús,
México Tenochtitlan,19.43864,-99.15346,Metro/Metrobús,
México Tenochtitlan ,19.43903,-99.15327,Metro/Metrobús,
Cuahutémoc ,19.44214,-99.15245,Metro/Metrobús,
Cuahutémoc,19.44259,-99.15242,Metro/Metrobús,
Buenavista,19.44486,-99.15227,Metro/Metrobús,
Miguel Laurent,19.37434,-99.16038,Metro/Metrobús,
División del Norte,19.37993,-99.15897,Metro/Metrobús,
Eugenia,19.38595,-99.15723,Metro/Metrobús,
Luz Saviñón,19.39091,-99.15644,Metro/Metrobús,
Obrero Mundial,19.40106,-99.1556,Metro/Metrobús,
Centro Médico,19.40727,-99.15513,Metro/Metrobús,
Dr. Márquez,19.41111,-99.15484,Metro/Metrobús,
Hospital General,19.41444,-99.15456,Metro/Metrobús,
Jardín Pushkin,19.4204,-99.15408,Metro/Metrobús,
Cuauhtémoc,19.42496,-99.1537,Metro/Metrobús,
Balderas,19.42807,-99.14874,Metro/Metrobús,
Juárez,19.43129,-99.14803,Metro/Metrobús,
Hidalgo,19.43601,-99.14721,Metro/Metrobús,
Mina,19.44058,-99.14855,Metro/Metrobús,
Guerrero,19.44603,-99.14721,Metro/Metrobús,
Ricardo Flores Magón,19.45178,-99.1459,Metro/Metrobús,
Tlatelolco,19.45556,-99.14505,Metro/Metrobús,
Tolnáhuac,19.45989,-99.14406,Metro/Metrobús,
Circuito,19.46329,-99.14406,Metro/Metrobús,
La Raza,19.46733,-99.14095,Metro/Metrobús,
Hospital La Raza,19.46799,-99.14385,Metro/Metrobús,
Héroe de Nacozari,19.47116,-99.14504,Metro/Metrobús,
Cuitláhuac,19.47415,-99.14616,Metro/Metrobús,
Coltongo,19.47985,-99.14833,Metro/Metrobús,
Magdalena de las Salinas,19.48388,-99.14986,Metro/Metrobús,
Poniente 128,19.48955,-99.15196,Metro/Metrobús,
Poniente 134,19.49269,-99.15317,Metro/Metrobús,
Montevideo,19.49611,-99.15446,Metro/Metrobús,
